kind,stage,market_slug,market_title,outcome,settlement,pm_mid,pm_buy_ask,model_fair_prob,edge_pp,ev_pct,liquidity
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Austria,reach QF (advance incl ET/pens),0.0485,0.049,0.0598,1.13,23.26,83913.4
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Ecuador,reach SF (advance incl ET/pens),0.046,0.049,0.0566,1.06,23.04,72962.7
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Canada,reach final (advance incl ET/pens),0.012,0.013,0.0206,0.86,71.67,76768.2
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Algeria,reach SF (advance incl ET/pens),0.0225,0.025,0.0304,0.79,35.29,95009.0
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Croatia,reach final (advance incl ET/pens),0.022,0.026,0.0297,0.77,35.09,98592.8
outright,Win,world-cup-winner,World Cup Winner,Paraguay,outright champion (incl ET/pens),0.0025,0.003,0.01,0.75,300.0,12709696.1
advancement,QF,world-cup-nation-to-reach-quarterfinals,Nation To Reach Quarterfinals,Algeria,reach QF (advance incl ET/pens),0.115,0.12,0.1223,0.73,6.33,78545.4
outright,Win,world-cup-winner,World Cup Winner,Croatia,outright champion (incl ET/pens),0.0035,0.004,0.0105,0.7,199.43,4946287.9
advancement,Final,world-cup-nation-to-reach-final,Nation to Reach Final,Ecuador,reach final (advance incl ET/pens),0.0145,0.015,0.0203,0.58,39.86,73922.2
r32_to_advance,R32,world-cup-cape-verde-stage-of-elimination,Cape Verde to advance past R32 (M86 vs Argentina),Cape Verde advances,win R32 tie incl ET/pens (derived NO on elim-R32),0.08,0.09,0.0853,0.53,6.64,116737.1
advancement,SF,world-cup-nation-to-reach-semifinals,Nation To Reach Semifinals,Bosnia and Herzegovina,reach SF (advance incl ET/pens),0.0075,0.011,0.0119,0.44,58.93,49603.1
advancement,R16,world-cup-nation-to-reach-round-of-16,Nation To Reach Round of 16,Cape Verde,reach R16 = win R32 tie (advance incl ET/pens),0.079,0.083,0.083,0.4,5.11,51400.1
