bet_id,ts_utc,status,match_id,match_desc,selection,decimal_odds,model_prob_old,ev_old,clv_old,clv_corrected,clv_delta,basis
71,2026-06-13T17:23:36,won,MANUAL_AUSTRALIA_VS_T_RKIYE,Australia vs Türkiye,Australia,5.0,0.244115,0.220575,-0.09998131275211108,0.5593692790254852,0.6593505917775963,DC 1X2: back Australia (p=0.3119)
72,2026-06-13T20:15:00,lost,HAISCO_HAITI_EX,Haiti vs Scotland,Haiti,6.4,0.168,1.075,0.09829797242731764,-0.25489961802589767,-0.3531975904532153,DC 1X2: back Haiti (home) (p=0.1164)
73,2026-06-13T20:55:00,lost,Ivory_Coast_vs_Ecuador,Ivory Coast vs Ecuador,Ecuador,2.54,0.448,1.138,,0.02502587131268963,,DC 1X2: back Ecuador (away) (p=0.4036)
74,2026-06-13T20:55:00,lost,Sweden_vs_Tunisia,Sweden vs Tunisia,Tunisia,4.6,0.24,1.103,,0.09409073881830521,,DC 1X2: back Tunisia (away) (p=0.2378)
75,2026-06-13T20:55:00,lost,Germany_vs_Curacao,Germany vs Curaçao,The Draw,24.0,0.061,1.464,,-0.26621047660646857,,DC 1X2: back the Draw (p=0.0306)
76,2026-06-13T20:55:00,lost,Sweden_vs_Tunisia,Sweden vs Tunisia,The Draw,3.6,0.286,1.03,,0.09608614308640928,,DC 1X2: back the Draw (p=0.3045)
77,2026-06-13T20:55:00,lost,Germany_vs_Curacao,Germany vs Curaçao,Curaçao,44.0,0.026,1.144,,-0.6607929355511296,,DC 1X2: back Curacao (away) (p=0.0077)
78,2026-06-13T20:55:00,lost,Haiti_vs_Scotland,Haiti vs Scotland,The Draw,4.7,0.228,1.072,0.030287388221973854,0.006456999913415196,-0.02383038830855866,DC 1X2: back the Draw (p=0.2141)
79,2026-06-13T20:55:00,won,Brazil_vs_Morocco,Brazil vs Morocco,The Draw,3.95,0.263,1.039,0.012832227532516782,0.11091895347354108,0.0980867259410243,DC 1X2: back the Draw (p=0.2812)
80,2026-06-13T22:17:42,lost,MANUAL_BRAZIL_V_MOROCCO,Brazil v Morocco,2-0,9.4,,,0.17500000000000004,,,no corrected single-match model (prop/acca/outright)
81,2026-06-14T00:12:15,won,MANUAL_BRAZIL_VS_MOROCCO,Brazil vs Morocco,Draw,2.74,,,-0.2974277712812414,-0.2293878651854424,0.06803990609579902,DC 1X2: back the Draw (p=0.2812)
82,2026-06-14T01:22:15,lost,HAITI_SCOTLAND,Haiti vs Scotland,Haiti 1-2 Scotland,9.8,,,,,,no corrected single-match model (prop/acca/outright)
83,2026-06-15T19:19:18,lost,PM_iran_win_20260615,Will IR Iran win on 2026-06-15?,Iran win - Yes,1.8182,,,,,,no corrected single-match model (prop/acca/outright)
